Term,Type
Attorney General's Office,GovDep
Cabinet Office,GovDep
"Department for Business, Energy and Industrial Strategy",GovDep
"Department for Digital, Culture, Media and Sport",GovDep
Department for Education,GovDep
"Department for Environment, Food and Rural Affairs",GovDep
Department for Exiting the European Union,GovDep
Department for International Development,GovDep
Department for International Trade,GovDep
Department for Transport,GovDep
Department for Work and Pensions,GovDep
Department of Health and Social Care,GovDep
Foreign and Commonwealth Office,GovDep
Her Majesty's Treasury,GovDep
Home Office,GovDep
Ministry of Defence,GovDep
"Ministry of Housing, Communities and Local Government",GovDep
Ministry of Justice,GovDep
Northern Ireland Office,GovDep
Office of the Advocate General for Scotland,GovDep
Office of the Leader of the House of Commons,GovDep
Office of the Leader of the House of Lords,GovDep
Scotland Office,GovDep
UK Export Finance,GovDep
Wales Office,GovDep
Charity Commission for England and Wales,GovDep
Competition and Markets Authority,GovDep
Crown Prosecution Service,GovDep
Food Standards Agency,GovDep
Forestry Commission,GovDep
Government Actuary's Department,GovDep
Government Legal Department,GovDep
Her Majesty's Land Registry,GovDep
HM Land Registry,GovDep
Her Majesty's Revenue and Customs,GovDep
HM Revenue and Customs,GovDep
HMRC,GovDep
National Crime Agency,GovDep
National Savings and Investments,GovDep
"Office for Standards in Education, Children's Services and Skills",GovDep
Office of Gas and Electricity Markets,GovDep
Office of Qualifications and Examinations Regulation,GovDep
Office of Rail and Road,GovDep
Ordnance Survey,GovDep
Serious Fraud Office,GovDep
Supreme Court of the United Kingdom,GovDep
The National Archives,GovDep
UK Statistics Authority,GovDep
UK Trade & Investment,GovDep
Water Services Regulation Authority,GovDep
Academy for Social Justice Commissioning,GovAgency
Accelerated Access Review,GovAgency
Administration of Radioactive Substances Advisory Committee,GovAgency
Advisory Committee on Animal Feedingstuffs,GovAgency
Advisory Committee on Business Appointments,GovAgency
Advisory Committee on Clinical Excellence Awards,GovAgency
Advisory Committee on Conscientious Objectors,GovAgency
Advisory Committee on Novel Foods and Processes,GovAgency
Advisory Committee on Releases to the Environment,GovAgency
Advisory Committee on the Microbiological Safety of Food,GovAgency
Advisory Committees on Justices of the Peace,GovAgency
Advisory Council on the Misuse of Drugs,GovAgency
Advisory Group on Military Medicine,GovAgency
"Advisory, Conciliation and Arbitration Service",GovAgency
Agriculture and Horticulture Development Board,GovAgency
Air Accidents Investigation Branch,GovAgency
Animal and Plant Health Agency,GovAgency
Animals in Science Committee,GovAgency
Architects Registration Board,GovAgency
Armed Forces' Pay Review Body,GovAgency
Arts and Humanities Research Council,GovAgency
Arts Council England,GovAgency
BBC,GovAgency
BBC World Service,GovAgency
Big Lottery Fund,GovAgency
Biometrics and Forensics Ethics Group,GovAgency
Biometrics Commissioner,GovAgency
Biotechnology and Biological Sciences Research Council,GovAgency
Board of Trustees of the Royal Botanic Gardens Kew,GovAgency
Boundary Commission for England,GovAgency
Boundary Commission for Northern Ireland,GovAgency
Boundary Commission for Scotland,GovAgency
Boundary Commission for Wales,GovAgency
British Business Bank,GovAgency
British Council,GovAgency
British Film Institute,GovAgency
British Hallmarking Council,GovAgency
British Library,GovAgency
British Museum,GovAgency
British Pharmacopoeia Commission,GovAgency
British Transport Police Authority,GovAgency
Broads Authority,GovAgency
Building Regulations Advisory Committee,GovAgency
Cafcass,GovAgency
Care Quality Commission,GovAgency
Central Advisory Committee on Compensation,GovAgency
Central Arbitration Committee,GovAgency
"Centre for Environment, Fisheries and Aquaculture Science",GovAgency
Certification Officer,GovAgency
Channel 4,GovAgency
Chevening Scholarship Programme,GovAgency
Civil Aviation Authority,GovAgency
Civil Justice Council,GovAgency
Civil Nuclear Police Authority,GovAgency
Civil Procedure Rule Committee,GovAgency
Civil Service,GovAgency
Civil Service Commission,GovAgency
Coal Authority,GovAgency
Commission on Human Medicines,GovAgency
Commissioner for Public Appointments,GovAgency
Committee on Climate Change,GovAgency
Committee on Fuel Poverty,GovAgency
"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment",GovAgency
"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment",GovAgency
Committee on Radioactive Waste Management,GovAgency
Committee on Standards in Public Life,GovAgency
"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",GovAgency
Commonwealth Scholarship Commission in the UK,GovAgency
