"Index","Obs","Ref","SponsorID","UKGovSponsorObs","UKGovSponsorRef","BusSponsorObs","BusSponsorRef","CharitySponsorObs","CharitySponsorRef","AMRCSponsorObs","AMRCSponsorRef","SponsorClass","AMRCSponsor","TotalInIndex"
190,"2015","2015",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3977,"21-seiki bunka gakujyutsu zaidan","21-seiki bunka gakujyutsu zaidan",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
17,"297","297",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1777,"353 simon building","353 simon building",4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,2
2530,"7th framework programme","7th framework programme",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,27
2859,"sixth framework programme","7th framework programme",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,27
3041,"ec 7th framework programme","7th framework programme",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,27
3212,"seventh framework programme","7th framework programme",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,27
3690,"ec seventh framework programme","7th framework programme",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,27
3706,"eu seventh framework programme","7th framework programme",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,27
4737,"seventh framework programme fp72007–2013","7th framework programme",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,27
5405,"eu seventh framework programme research technological development","7th framework programme",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,27
45,"aae","aae",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1567,"aarhus university","aarhus university",7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,3
4549,"aarhus universitet matematisk institut","aarhus university",7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,3
507,"ab agri","ab agri",8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
589,"ab vista","ab vista",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
23,"abb","abb",10,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
654,"abb group","abb group",11,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
1501,"abb turbo systems","abb turbo systems",12,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
2099,"abbey-santander fund","abbey-santander fund",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3355,"abbey-santander scholarship","abbey-santander scholarship",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2564,"abbott diabetes care uk","abbott diabetes care uk",15,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
