"allsponsors","Freq"
"2015",1
"21-seiki bunka gakujyutsu zaidan",1
"297",1
"353 simon building",2
"7th framework programme",27
"aae",1
"aarhus university",3
"ab agri",1
"ab vista",1
"abb",1
"abb group",1
"abb turbo systems",1
"abbey-santander fund",1
"abbey-santander scholarship",1
"abbott diabetes care uk",1
"abbott pharmaceuticals",1
"abbvie",2
"abcam plc",1
"abdul wali khan university mardan",1
"abdullah",1
"abeokuta",1
"aberdeen",1
"aberdeen business school",1
"aberdeen endowments trust",1
"aberdeen formation evaluation society",1
"abertay university",1
"aberystwyth postgraduate research scholarship",20
"aberystwyth university",11
"abia state university",1
"abu dhabi education council",1
"abu dhabi government",1
"abu dhabi health services company",1
"abu dhabi police",3
"abuja",3
"academic professional programs americas",1
"academy athens",1
"academy finland",2
"academy graduate studies tripoli",1
"academy korean studies",1
"academy marketing science",1
"academy medical royal colleges",1
"acal energy",1
"acca asociación para la conservación de la cuenca amazónica",1
"access pharmaceuticalssomanta",1
"acorne",1
"acqwa",1
"action hearing loss",1
"action me",1
"action medical research",6
"ad-futura",1
"adas uk",1
"adas uk ltd",1
"addis ababa university",1
"addison award",1
"addison studentship",2
"adecco institute",1
"adelaide",2
"advanced bionics llc",1
"advanced life support group",1
"advanced metallic systems cdt",1
"advanced technology institute",1
"advanced training",1
"advantage west midland",10
"advion biosciences",1
"ae sdn bhd",1
"aecom ltd",1
"aeronautical automotive engineering",4
"aerospace civil engineering",1
"afosr",1
"afosreoard",1
"africa american institute",1
"africa nazarene university",1
"aga khan foundation",1
"age uk",4
"agencia nacional de promoción científica y tecnológica",1
"agency science",12
"aggregate industries ltd uk",1
"agie charmilles",1
"agolin sa",1
"agriculture fisheries",2
"agriculture fishery development fund",1
"agua sustentable",1
"ahrcesrc religion society programme",2
"ahrq",1
"aichi steels corporation",1
"aids international research training program",1
"aiprs",2
"airbus",6
"airbus defence space",1
"airbus group",1
"airbus industrie",7
"airbus operations limited",1
"airbus uk",1
"aker solutions",1
"akwa ibom state university",1
"akzonobel",1
"akzonobel decorative coatings",1
"al-ahliyya amman university",1
"al-arabiya channel",1
"al-baath university",1
"al-furat university syria",1
"al-hussein bin talal university",1
"al-isra university",1
"al-jazeera channel",1
"al-maktoum foundation",1
"al-maktoum institute arabic islamic studies",1
"al-shura council",1
"al-zawia university",1
"al al-bayt university",1
"al albayiet university",1
"al ba’ath university syria",1
"al tajer trust",1
"alan greenwood",1
"alan morement memorial fund",1
"alaysia",1
"albaha university",1
"albalqa applied university",1
"alcan crv",1
"alcoa europe",1
"alcon brakes limited",1
"aldermann ferries charity",1
"alderney renewable energy ltd",1
"aleppo university",5
"alergenetica sl",1
"alexander onassis public benefit foundation",4
"algerian consulate",1
"algerian government",1
